source,target,edge
Shabaab  millitant,home Mandera town,East
One  person,incident,size
unknown  injuries,unknown  property,size
ethnic Isiolo motive,attack,remains unknown
abandoned Kiambu They,project,hundreds
National Highways Kiambu Police,efforts,size=13
several  militants,multiple  injuries,killed
8  people,two  students,killed
presidential Nairobi Police,order,size
private Kwale protestors,land injustice,size
Russian Nairobi group,later  demonstration,size
allegedly police He,later  police,size
local  residents,allegedly Nakuru infidelity,size
women,politicians,targeted
Lamu East Lamu militants,13  soldiers,claimed
2 Elgeyo herders,gunshot wounds,sustained
Muranga one,incident,size
unspecified Nairobi workers,timely working conditions,size
local  residents,two Kilifi goats,size
other  2,allegedly morning prayers,size
unknown  women,office,targeted
Lamu Casualties,Bargoni town,unknown
group,military,size
2022  women,peaceful bus ferrying students,size
Marsabit motive,attack,is unknown
human businessman Samson who,Kenyan security forces,size
freedom activists,double  intimidation,size
later Nyeri Location,Kawangware,coded as
local  residents,allegedly Nakuru police,size
unidentified Marsabit motive,attack,is unknown
2022  residents,allegedly Kiambu infidelity,size
school,allegedly Nakuru exams,size
Police,situation,size
security Casualties,security Garissa,unknown
two River Police,man,size
where Elgeyo Marakwet he,also  catechist,East
rest,10 watering Takaba,wounded
Garissa Causalities,Garissa police,unknown
local  residents,old Kakamega body,size
two health workers,remaining health worker,let
2022  mob,allegedly Vihiga radio,size
this,vigilante justice,size
mainly boda taxi operators,Nairobi him,size
six  students,three gunshot wounds,shot dead
2022 bomb defusal squad,suspected security Sankuri,defused
local  residents,county birth birth certificates,size
Nairobi motive,lynching,size
2022  mob,two Nairobi stone,size
One Nairobi man,allegedly Nairobi area,killed
Nairobi motive,lynching,size
domestic Elgeyo suspects,incident,size
2022 rowdy youths,parliamentary teargas crowd,size
Mombasa Police,suspect,size
2022  group,mobile Nakuru motorist,size
Trans Nzoia section,later  area,size
fellow Nakuru Running,injuries,size
Police,group,size
suspected Pokot militia,suspected retaliation Loruk,attacked
six  others,unhurt,injured
two Baringo They,county 400,size
2022  mob,allegedly Embu woman,size
fellow Trans Nzoia he,fellow  congregant,size
motivated Migori Neighbors,them,report
Two entry fans,one head scuffle,size
militia,20  goats,shot dead
separately Pokot Police,crowd,size
young Machakos suspect,police,size
Police,situation,size
another,incident,killed
allegedly Safaricom money couple,later  police,size
Democratic Movement Kilifi one,incident,size
two  others,six Dagega Sangailu,killed
gunshot fatalities,gunshot wounds,reported
nearby  He,police,report
indefinite  students,immense discipline 2000,size
another,Ol Moran Laikipia North,wounded
underaged Makueni woman,police,size
allegedly Kiambu which,negatively  businesses,size
"2,000  residents",suspected Pokot militia,Displacement
Member Kilifi motive,abduction,remains unknown
,allegedly extortion demonstration,size
2022 Tugen militia,unknown Baringo goats,suspected
local  residents,Power Marani township,size
Samburu incident,unknown  value,left
moving Nairobi officers,moving Nairobi vehicle,size
poor Ruiru Police,situation,size
posted enforcement incident,better  32,size
chairman,UDA United Democratic rally,size
poor Kisumu group,appropriate diaper disposal market,size
seriously  who,seven  twelve,size
minor  Police,situation,size
suspected Pokot militia,Lomelo Kapedo Kapendo,shot
100 West Pokot Casualties,100 West Pokot goats,unknown
slain  officer,driving  licence,happened following
local  residents,poor sub county hospital,size
presumed Pokot militia,one Laikipia woman,attacked
allegedly mob Police,demonstrators,size
tear  Scores,incident,size
12  men,old police Mtwapa,abducted
several  people,incident,stolen
political Kilifi it,proper family approval,size
